,Date,1g of 24k gold,8g of 24k gold,1g of 22k gold,8g of 24k gold
0,29/March/2023,5989.00,47912.00,5545.00,44360.00
1,28/March/2023,6027.00,48216.00,5510.00,44080.00
2,27/March/2023,6066.00,48528.00,5540.00,44320.00
3,26/March/2023,6071.00,48568.00,5550.00,44400.00
4,25/March/2023,6071.00,48568.00,5550.00,44400.00
5,24/March/2023,6110.00,48880.00,5560.00,44480.00
6,23/March/2023,6071.00,48568.00,5540.00,44320.00
7,22/March/2023,5956.00,47648.00,5470.00,43760.00
8,21/March/2023,6110.00,48880.00,5570.00,44560.00
9,20/March/2023,6077.00,48616.00,5560.00,44480.00
